科目名,先生,学期,学年,科目群,授業形態,単位数,評価,URL
哲学,三平正明,前期,,総合教育科目,対面授業（一部遠隔授業）,2,授業内テスト(50%)、授業参画度(50%) 【授業参画度】は小テスト等によって評価します。 【授業内テスト】は、最終回に実施します。 ＊授業達成目標の A-1-3 と A-4-3 は、授業における学修の積み重ねの結果、授業の最後に達成されます。そして、その評価は、授業参画度と授業内テストをあわせて行われます。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95049.html
哲学,三平正明,後期,,総合教育科目,対面授業（一部遠隔授業）,2,授業内テスト(50%)、授業参画度(50%) 【授業参画度】は小テスト等によって評価します。 【授業内テスト】は、最終回に実施します。 ＊授業達成目標の A-1-3 と A-4-3 は、授業における学修の積み重ねの結果、授業の最後に達成されます。そして、その評価は、授業参画度と授業内テストをあわせて行われます。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95050.html
論理学,高取正大,後期,,総合教育科目,対面授業,2,授業内テスト:授業内テストは中間テストと期末テストを合わせて評価します。(60%)、授業参画度:授業参画度は毎回のリアクションペーパーで評価します。(40%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus99493.html
倫理学,磯部笑子,前期,,総合教育科目,対面授業,2,授業内テスト(44%)、授業参画度:課題(56%) 授業参画度は、アンケートの提出を通して、「省察力(A-8-1)」を評価する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95052.html
倫理学,磯部笑子,後期,,総合教育科目,対面授業,2,授業内テスト(44%)、授業参画度:課題(56%) 授業参画度は、アンケートの提出を通して、「省察力(A-8-1)」を評価する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95053.html
美学,櫻井一成,前期,,総合教育科目,対面授業,2,試験(90%)、授業参画度:リアクション・ペーパーの内容など(10%) 期末テストで、授業内容を理解することができているかを確認します。 〈問題を共有し、共に考える〉という観点からリアクション・ペーパーを評価します。 成績評価の仕方については、初回の授業でより詳しく説明する予定です。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95054.html
美学,高橋陽一郎,後期,,総合教育科目,対面授業,2,試験(70%)、授業参画度:学期内に3回課すリアクションペーパー(30%) 履修の修正期間が終了した直後から12回の出席を取り、そのうち7回以上の出席をもって、成績評価を受ける資格を有するものとします（出席が6回までの人は自動的にD判定となります）。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95055.html
宗教学,冨田真浩,前期,,総合教育科目,対面授業,2,授業内テスト:第７回と第１３回の全２回実施します。それぞれ50％で評価します。(100%) 出欠はとりませんが，すべての授業に遅刻せずに参加することを前提として，全２回の授業内テストで評価します。 片方でも授業内試験を欠席された場合は単位を認定できません。 授業内テストは，持ち込み不可の筆記形式と授業参画度を見るための論述形式の複合的な試験とします。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95056.html
宗教学,冨田真浩,後期,,総合教育科目,対面授業,2,授業内テスト:第７回と第１３回の全２回実施します。それぞれ50％で評価します。(100%) 出欠はとりませんが，すべての授業に遅刻せずに参加することを前提として，全２回の授業内テストで評価します。 片方でも授業内試験を欠席された場合は単位を認定できません。 授業内テストは，持ち込み不可の筆記形式と授業参画度を見るための論述形式の複合的な試験とします。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95057.html
歴史学,高井康行,後期,,総合教育科目,対面授業,2,レポート(60%)、授業参画度(40%) ・授業参画度は、授業内でのディスカッション参画の積極性および小レポートなどにより評価する。 ・小レポート（4回実施予定）は対応する授業回の内容に即したものになっているか否か、期末レポートは史料批判の方法論を踏まえたものになっているか否かにより評価する。 ・対面授業に参加できない用件を満たし、Zoomまたは録画配信によって参加した場合も、上記の各小レポート・期末レポートの提出によって評価する。対面授業での評価と差が出ることはない。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95058.html
歴史学,杉田建斗,前期,,総合教育科目,対面授業,2,試験(50%)、授業内テスト:第2～14回に毎回行う小テストで評価します〔小テストの受験は授業への出席を前提とします〕(35%)、授業参画度:リアクションペーパーで評価します(15%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95059.html
考古学,小泉龍人,前期,,総合教育科目,対面授業（一部遠隔授業）,2,"レポート:授業内容を理解して目標に到達しているかどうか、参考文献を適切に引用して考察しているかどうかを評価(60%)、授業内テスト:適宜、授業中にリアクションペーパーを実施して、授業の理解度を評価(20%)、授業参画度:授業マナー、LMSディスカッションへの投稿、講師からの問い掛けへの対応などを評価(20%) 【期末レポート】授業にて解説予定の「期末レポートの書き方」を確認した上で、レポート（2,000字前後）を期日までにCanvas LMS課題にて提出する。 【授業内テスト】対面参加者は教室にて用紙に記入して提出、オンライン参加者はメールにて提出（いずれも授業時間内受付）。オンデマンド視聴者は別途指示。 【授業参画度】遅刻（無断・遅延オンライン参加含む）２回で欠席扱い。授業中、講師から意見等を求められたら自身の考えなどを率直に述べ、授業マナーを守る（私語・食事等の授業の妨げとなる言動、授業に関係のない行為は慎む）。ディスカッションへ積極的に投稿する。",https://syllabus.chs.nihon-u.ac.jp/op/syllabus95060.html
文学,康潤伊,前期,,総合教育科目,対面授業,2,レポート:期末レポート(50%)、授業参画度:リアクションペーパーの内容(50%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95061.html
文学,堀切大史,後期,,総合教育科目,対面授業,2,授業内テスト(20%)、感想文(80%) 毎回提出する感想文および学期末に行う授業内テストによって評価します。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95062.html
言語学,松﨑寛,後期,,総合教育科目,対面授業,2,試験(40%)、レポート:毎回授業後に課題を出す。14回×5点(60%) 毎週の課題は、解答があっていても解説が間違っていたら０点。解説を写しあっている者は双方０点。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95063.html
民俗学,野村典彦,前期,,総合教育科目,対面授業,2,レポート:中間課題と期末課題。詳細は授業内で指示する。(85%)、授業内テスト(5%)、授業参画度(5%)、授業時提出物(5%) 中間課題と期末課題の比は「４対６」とする。 期末課題が提出されなければ評価は「不可」とする。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95064.html
民俗学,斎藤弘美,前期,,総合教育科目,対面授業,2,"レポート:学修したテーマ・内容をもとに独自に調査・研究した期末レポートを提出することでA1,2,3の理解度・達成度を確認し評価する(40%)、授業参画度:リアクションコメントの内容により自ら考え学ぶ姿勢とA1,2,3理解度・達成度を評価(60%) 病欠等、申告により認められた欠席の場合は、期末レポート提出と同時期に公表する欠席者用特別課題を提出することにより、授業参画度評価を行います。提出に当たっては、事前あるいは事後に理由を記載した欠席届をメール等により提出し、やむなしと認められていることを条件とします。 期末レポートおよび欠席者用特別課題はCanvasLMS上に提出してください。",https://syllabus.chs.nihon-u.ac.jp/op/syllabus95065.html
民俗学,斎藤弘美,後期,,総合教育科目,対面授業,2,"レポート:学修したテーマ・内容をもとに独自に調査・研究した期末レポートを提出することでA1,2,3の理解度・達成度を確認し評価する(40%)、授業参画度:リアクションコメントの内容により自ら考え学ぶ姿勢とA1,2,3理解度・達成度を評価(60%) 病欠、忌引き、就職活動等、申告によりやむを得ないと認められた欠席の場合は、期末レポートと同時期に公表する欠席者用特別課題の提出により、授業参画度評価を行います。提出に当たっては、事前あるいは事後に欠席理由を標記したメールを送信し、教員よりやむなしと認められていることを条件とします。 期末レポートおよび欠席者用特別課題はCanvasLMS上に提出してください。",https://syllabus.chs.nihon-u.ac.jp/op/syllabus95066.html
「生きる」ことの哲学,鈴木生郎,前期,,総合教育科目,対面授業,2,レポート(70%)、授業参画度:毎回のテストに基づいて評価します。(30%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95067.html
「生きる」ことの哲学,鈴木生郎,後期,,総合教育科目,対面授業,2,レポート(70%)、授業参画度:毎回のテストに基づいて評価します。(30%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95068.html
