                        令和７年度以降入学者,令和２年度以降入学者,教員名,単位数,学年,開講区分,科目群,学期,履修区分,授業形態,授業の形態,授業概要,授業のねらい・到達目標,授業の形式,授業の方法,履修条件,教科書,参考書,成績評価の方法及び基準,オフィスアワー,授業計画
異文化理解と日本語学習,国際日本学入門２,リテイ,2,1～4,文理学部,総合教育科目,後期,選択,対面授業,対面授業15回,本授業では、多文化社会における日本語学習を、言語的・社会的・心理的側面から捉え、日本語学習者の経験に焦点を当てて考察する。講義、事例分析、グループディスカッションを通じて、異文化理解と日本語学習の関係性を深める。最終的に、学習者にとっての効果的な学習環境や支援のあり方について議論し、理解を深める。日本語教育経験のある教員がその経験を活かして日本語の教育実践について指導する。,本授業では、日本語学習を異文化理解の観点から考察し、多文化社会における学習者の経験や課題を探る。言語習得、コミュニケーション、異文化適応、学習ストラテジーなどの側面から、日本語学習のプロセスを総合的に理解する。到達目標は、受講生が日本語学習者の視点に立ち、異文化環境における学びの特徴や課題を分析し、効果的な学習支援の在り方について考察できるようになることである。,講義、演習,教員による講義、学生のグループワークやディスカッション、演習を組み合わせて行います。,・この科目は「日本語教育コース(学部基礎コース)」の選択必修科目です。,使用しない,授業内で適宜紹介する。,レポート(30%)、授業参画度(30%)、課題(40%),授業前後、教室にて。また、Canvas LMSとメールでも対応する。具体的な方法はガイダンスおよびCanvas LMS上で連絡する。,"ガイダンス,日本語学習者のコミュニケーションストラテジー——コミュニケーション上の様々な工夫 （A-1-1）,待遇コミュニケーション主体としての日本語学習者——場・人間関係を意識したコミュニケーション活動 （A-1-1）,日本語学習者の言語・非言語コミュニケーション——文化を超えた伝達の工夫 （A-1-1）,多文化・多言語主義の中で日本語を学ぶ——学習者の経験と課題 （A-1-1）,日本語学習者の談話理解と産出過程——流暢さと適切さを求める日本語学習 （A-1-1）,第一言語・第二言語の習得過程と日本語学習——母語の影響を考える （A-1-1）,日本語学習者の学習ストラテジー——自分の特性に合った学習方法を探る （A-1-1）,カルチャーショックと異文化適応——日本語学習者の経験から考える （A-1-1）,日本語学習における情意的側面——学習意欲と心理的要因の影響 （A-1-1）,異文化間教育における日本語学習——多文化環境で学ぶ意義と課題,異文化コミュニケーションと日本語学習——言語の壁を乗り越えるには （A-1-1）,コミュニケーション教育と日本語学習——対話力を高めるために （A-1-1）,学習成果発表・討論会（1）（A-1-1）,学習成果発表・討論会（2）（A-1-1）"
多言語・多文化社会と日本語教育,国際日本学入門１,リテイ,2,1～4,文理学部,総合教育科目,前期,選択,対面授業,対面授業15回,本授業は、多文化共生社会における日本語教育の課題と実践を体系的に学ぶ。言語・非言語コミュニケーション、学習者の習得過程、異文化適応、学習ストラテジーなど、多様な視点から日本語教育を考察する。講義、プロジェクトワークを通じて、多言語・多文化社会の課題と解決策を探り、異文化間教育の視点を持った日本語教育の可能性を探る。日本語教育経験のある教員がその経験を活かして日本語の教育実践について指導する。,授業のねらいは、受講者が多言語・多文化社会の視点を踏まえた日本語教育の意義を理解し、多様な学習者の背景を考慮した教育方法を考案できるようになることである。,講義、演習,教員による講義、ゲストスピーカーによる講演、学生のグループワーク、教員と学生のディスカッション、演習を組み合わせて行います。,・この科目は「日本語教育コース(学部基礎コース)」の選択必修科目です。,使用しない,授業内でその都度紹介する。,レポート(30%)、授業参画度(30%)、課題20％、プロジェクトワーク20％(40%),① 授業の前後、教室で対応する,"ガイダンス（授業内容とプロジェクトワークの説明）,日本語教育におけるコミュニケーションストラテジー——効果的な対話を目指して （A-1-1）,待遇コミュニケーションと日本語教育——場・人間関係を意識したコミュニケーション行為 （A-1-1）,日本語教育における言語・非言語コミュニケーション——伝達の多様性を学ぶ（A-1-1）,多文化・多言語主義の視点から考える日本語教育——教育の可能性と課題,談話の理解と産出を支援する日本語教育——教室内外のコミュニケーションを視野に（A-1-1）,第一言語・第二言語の習得過程と日本語教育——学習者の発達を理解する（A-1-1）,第二言語習得と学習ストラテジー——日本語学習を支援する方法 （A-1-1）,カルチャーショックと異文化適応——日本語学習者の経験を理解する（A-1-1）,日本語教育における情意的側面——学習動機と心理的要因を考える （A-1-1）,異文化間教育としての日本語教育——ことばを超えた学び （A-1-1）,異文化コミュニケーションと日本語教育——言語と文化の架け橋 （A-1-1）,コミュニケーション教育としての日本語教育——対話の力を育む （A-1-1）,学習成果発表会（1）（A-1-1）,まとめと振り返り（A-1-1）"
情報と数理,情報と数理,古市茂,2,1～4,文理学部,総合教育科目,後期,選択,遠隔授業（オンデマンド型）,筆記試験は対面で行います（教科書のみの持ち込み可）,情報科学における情報理論について「可能な限り高校数学までの範囲」で解説する．受講生は情報の単位（ビット）の定義の所以，,情報科学の基礎的分野である情報理論について全般的に解説する．,講義,授業の形式：【講義】,,古市 茂 『情報理論：エントロピーと符号化定理』 日本評論社 2021年 第1版,使用しない,授業内テスト:14回目の授業時に筆記試験を行いその結果で成績を評価します．(100%),質問については電子メールなどを通してお願いします．,"自己情報量について学ぶ,エントロピーについて学ぶ,エントロピーの性質について学ぶ,情報源符号化の基本について学ぶ,符号化手法の例としてShannon符号とFano符号について学ぶ,情報源符号化定理とハフマン符号について学ぶ,LZ77符号について学ぶ,LZ78符号について学ぶ,相互情報量について学ぶ,通信路容量と具体的な通信路について学ぶ,誤り検出と訂正の仕組みについて学ぶ,ハミング符号と誤り訂正能力について学ぶ,線形符号の基礎について学ぶ,これまでの授業内容の理解度を確認する,通信路符号化定理の概要を学ぶ"
言語学から見た世界,言語学から見た世界,松﨑寛,2,1～4,文理学部,総合教育科目,前期,選択,対面授業,原則として対面授業,言語学・日本語学の知識を得る。,・言語学とはどのようなものであるかを学ぶ。,講義,・原則として対面授業とする。,,今井新悟 『いちばんやさしい日本語教育入門』 アスク出版 2018年,授業内で適宜紹介する,試験(40%)、レポート:毎回授業後に課題を出す。14回×5点(60%),(1) メールを使って行う,"ガイダンス 言語学とは何か（１） （A-1-1),言語学とは何か（２） （A-1-1),第１章 音声：日本語の母音、子音、音節（１） （A-1-1),第１章 音声：日本語の母音、子音、音節（２） （A-1-1),第１章 音声：日本語のリズム、アクセント、イントネーション（１） （A-1-1),第１章 音声：日本語のリズム、アクセント、イントネーション（２） （A-1-1),第２章 文字・語彙：文字、語彙、語の種類 （A-1-1),第２章 文字・語彙：語構成、類義語 （A-1-1),第３章 文法：語順 （A-1-1),第３章 文法：品詞 （A-1-1),第３章 文法：テンス、アスペクト （A-1-1),第３章 文法：ヴォイス、モダリティ （A-1-1),第４章 言語と社会：位相、社会言語能力（１） （A-1-1),第４章 言語と社会：位相、社会言語能力（２） （A-1-1),テストと振り返り （A-1-1)"
音楽文化論,音楽文化論,堀切大史,2,1～4,文理学部,総合教育科目,後期,選択,対面授業,,英米のロックの歌詞を読む！,英米のロックの歌詞について、その多様な英語表現に触れながら説明できるようになるとともに、英米の多様な文化についても説明できるようになります。,講義,教師による講義および学生による感想文の提出（フィードバックは適宜行います）,教室で対面授業を受けることの出来る学生であることを条件とします。,ハンドアウト,英語辞典、国語辞典、その他の事典や辞典など,授業内テスト(20%)、感想文(80%),基本的に月・火・水・木に堀切研究室（メールなど遠隔による質問等には一切応じません）,"音楽文化概論,ロックンロール誕生,エルヴィス・プレスリー「ハートブレイク・ホテル」,ビートルズ「エリナ・リグビー」,サイモン&ガーファンクル「サウンド・オヴ・サイレンス」,デイヴィッド・ボウイ「スペース・オディティ」,イーグルス「ラスト・リゾート」,マイケル・ジャクソン「スリラー」,マドンナ「マテリアル・ガール」,ブルース・スプリングスティーン「ボーン・イン・ザ・U.S.A.」,ザ・スミス「ゼア・イズ・ア・ライト」,オアシス「リヴ・フォーエヴァー」,レイジ・アゲンスト・ザ・マシーン「テイク・ザ・パワー・バック」,レイディ・ガガ「ボーン・ディス・ウェイ」,授業内テストと授業全体の復習"
音楽文化論,音楽文化論,小林幸子,2,1～4,文理学部,総合教育科目,前期,選択,遠隔授業（オンデマンド型）,全面的にCanvas LMSを利用して行う。,クラシック音楽やそれを取り巻く事象について、各回、多様なトピックに基づき、各時代を横断しながら考える。その中で、音楽に求められてきた役割の変遷や、それに伴う作品形態の発展、音楽と人にまつわる事象などを浮き彫りにしていく。,＜授業のねらい＞,講義,・各受講期間中にCanvas LMSの当コース上に掲載される教材（レジュメ、動画、読み物など）で受講の上、課題（確認小テストやリアクションペーパー）を提出することによって、出席とみなされる。,・授業開始前にCHIPSによる抽選が行われ、履修者が決定される。,なし。配付資料は責任を持って保管すること。,授業内で紹介する。,授業内テスト:第15回授業内の期末試験（Canvas LMSにて提出）で評価(50%)、授業参画度:授業課題の提出状況や解答内容で評価(50%),Canvas LMSを通して行う。,"ガイダンス／古代ギリシャの「音楽」（A-1-1）（A-3-1）,クラシック音楽の歴史（A-1-1）（A-3-1）,キリスト教と音楽（A-1-1）（A-3-1）,貴族と音楽（A-1-1）（A-3-1）,市民社会と音楽（A-1-1）（A-3-1）,オーケストラと交響曲（A-1-1）（A-3-1）,ピアノの多彩な役割（A-1-1）（A-3-1）,音楽批評（A-1-1）（A-3-1）,文学から生まれる音楽（A-1-1）（A-3-1）,音楽とナショナリズム（A-1-1）（A-3-1）,音楽の都ウィーン（A-1-1）（A-3-1）,オペラの基礎知識（A-1-1）（A-3-1）,音楽家と政治（A-1-1）（A-3-1）,20世紀の音楽（A-1-1）（A-3-1）,授業内テスト（期末試験）と解説"
教育と人間理解,身体表現論,西牧謙吾,2,1～4,文理学部,総合教育科目,後期,選択,対面授業,,本授業は教職課程で提供している特別支援教育概論のアドバンスコースの位置づけを持つ。教員免許状取得を希望する学生、教員を志望する学生が、社会に出たときに使える実用的な知識や技能を提供する。全15回の講義内容は、オムニバスで提供する。,授業のねらい：特別な支援を必要とする幼児児童生徒への教育の応用的理解を得ることを目的とする。それとともに特別支援教育に関連の深い医療・福祉・教育についても言及する。,講義、オムニバス,授業の形式：【講義】,,教科書は指定しない,適宜、参考文献を提示する,レポート:毎回の授業で課すリアクションペーパーで代替する(80%)、授業内テスト:高校の内容について確認することがある(5%)、授業参画度:毎回、講義内でデスカッションの時間を設ける(10%)、期限内提出を必須(5%),「Canvas LMS」のメールで、質問等を受け付ける。,"オリエンテーション【対面授業】,オムニバスに話題提供を行う,オムニバスに話題提供を行う,オムニバスに話題提供を行う,オムニバスに話題提供を行う,オムニバスに話題提供を行う,オムニバスに話題提供を行う,オムニバスに話題提供を行う,オムニバスに話題提供を行う,オムニバスに話題提供を行う,オムニバスに話題提供を行う,オムニバスに話題提供を行う,オムニバスに話題提供を行う,オムニバスに話題提供を行う,まとめ"
,,高山昇,2,3･4,文理学部,総合教育科目,後期,選択,対面授業（ハイフレックス型）,■この講座は後期・水曜日３限の時間帯に、ハイフレックス型（対面受講とZoomによるオンライン授業を同時に実施する方法）で授業を実施します。授業後にオンデマンド配信を視聴することはできません。,■日常的な社会生活における言語・非言語表現をテーマに授業を行います。,(1) 人間関係づくりや円滑なコミュニケーションのための非言語表現について、基本的な知識を身につける。（A-1-1）,講義、演習,"■①教科書、パワーポイントによる講義。②先行研究の検証実験や演習。③履修者のリアクションペーパー（200字以上の授業の振り返りコメント）へのフィードバック、を柱に授業を実施します。授業と平行して、授業毎のリアクションペーパーと中間＆最終レポートが提出課題となります。提出されたリアクションペーパーは添削後に共有ファイルを作成し、次週の授業までに履修者同士が閲覧できる形でCanvasのアナウンスメント欄にて配信します。共有ファイルの内容の一部は、次週の授業でもフィードバックと補足説明を行います。毎回のリアクションペーパーと少し重めの中間＆最終レポートが提出課題（各回のリアクションペーパーと２本の課題で10,000字程度）となるため、筆記試験は行いません。",■この科目では抽選を行いません。ハイフレックス型授業のため、履修人数の制限はありません。但し、対面受講希望者が使用教室の収容人数を超過する場合、またはオンライン受講者がZoomの定員を超過する場合には、学内でのオンライン受講や対面受講の調整をすることがあります。,高山 昇 『入門パフォーマンス～ The performance of Self in Social Role』 作品舎 2023年 第4版,齊藤 勇 『対人コミュニケーションの心理 （対人社会心理学 重要研究集３）』 誠信書房 1987年 第6版,レポート:中間＆最終(40%)、リアクションペーパー（毎授業の振り返りコメント）(60%),■質問等は、リアクションペーパー（授業の振り返りコメント）の質問欄に記入して下さい。共有ファイル内で回答をします。対面受講の学生には、授業前後に使用教室で声をかけて下さい。,"■科目ガイダンス（授業の概要、到達目標及び受講方法についての説明。）（A-1-1）,■パフォーマンス学②,■パフォーマンス学③,■自己開示と自己呈示①（A-1-1）,■自己開示と自己呈示②,■自己開示と自己呈示③,■言語表現①（A-3-1）,■言語表現②,■言語表現③,■非言語表現① 表情（A-5-1）,■非言語表現② 視線,■非言語表現③ 対人距離,■観察シート、課題レポートの作成と提出の説明（A-3-1）,■課題研究 観察（A-3-2）,■非言語表現⑤ 身体"
映像文化論,映像文化論,遠山純生,2,1～4,文理学部,総合教育科目,前期,選択,対面授業,対面授業（13回）と試験（2回）を組み合わせる。,この授業では、世界の映画史を見渡しながら、「映画」を通じてなにごとかを語る（＝見せる・聴かせる）ための技術あるいは表現様式の変遷を学ぶ。また、そうした技術や表現上の特性にまつわる理論的著作も随時参照しながら、新たな技術＝表現の誕生が各時代の映画体験にどのような作用を及ぼしたかを理解する。,まずは、時代や国籍によってさまざまに異なる映画の様式的特性を、識別する能力を養う。（A-1-1）,講義,受講者は、講義や質疑応答のほか、授業でとりあげた映像作品について見直す・授業内で紹介した文献を読むなど、復習に十分な時間をかけて学修成果をより豊かなものにする。,授業開始前にCHIPSによる抽選を行う科目です。,使用しない,フィリップ・ケンプ 『世界シネマ大事典』 三省堂 2016年 第1版,授業内テスト:中間試験、期末試験(80%)、授業参画度:リアクションペーパー(20%),メールやCanvas LMSを⽤いて質疑応答をおこなう。,"オリエンテーション（授業概要とその進め方、テストの形式などについて説明）、技術の変化と映画表現の変化の相関関係について、あらかじめおおまかに俯瞰する。【対面授業】（A-1-1)（A-3-1) (A-8-1),「古典的ハリウッド映画」の規範成立について。中間字幕、編集、カメラのフレーミング、俳優の演技といった要素がストーリーを明確に語るために利用されるようになっていく過程を確認する。（A-1-1)（A-3-1) (A-8-1),アメリカやヨーロッパで映画を使ったストーリーテリングの基本的テクニックが確立されたことを確認。ストーリーを語るためのさまざまな編集技法について、具体的に検討する。（A-1-1)（A-3-1) (A-8-1),ソヴィエト・モンタージュ派映画の主題的特性、特徴的物語構造を確認。ハリウッド映画的編集との違いも含め、モンタージュ派の編集技法上の特性について考える。（A-1-1)（A-3-1) (A-8-1),エイゼンシュテインの理論的考察を確認した後、ソヴィエト・モンタージュ派映画の特性を衣装、照明、演技と編集との関係から考える。（A-1-1)（A-3-1) (A-8-1),サイレントからトーキーへの移行の過程を詳しく見る。複数あった映像＝音声同期システムの違いや、音が加わったことでハリウッド映画に表現上の変化が生じたことなどを確認する。（A-1-1)（A-3-1) (A-8-1),日本映画のトーキー化の過程。サウンド映画と「弁士」の関係や、日本映画のトーキー化が遅れた要因等のほか、特に松竹におけるトーキー映画への移行について確認する。（A-1-1)（A-3-1) (A-8-1),映画の色彩化（無声映画期の手彩色、テクニカラーとイーストマンカラーの違い等）、各種ワイドスクリーンの登場と映画のスペクタクル化について確認する。（A-1-1)（A-3-1) (A-8-1),中間試験、前期のまとめ。（A-1-1)（A-3-1) (A-8-1),ディープフォーカス撮影小史、ディープフォーカスと長廻し撮影の組み合わせが映画にもたらした表現上の刷新、ディープフォーカスをめぐるアンドレ・バザンの理論、フランスの「映画愛好」と「作家主義」について確認する。（A-1-1)（A-3-1) (A-8-1),戦後ヨーロッパ（主に1950年代）の作家映画について。その発生の原因といくつかの共通した様式的特徴、数人の代表的作家、彼らの作風について確認する。（A-1-1)（A-3-1) (A-8-1),第二次大戦後の、各国におけるドキュメンタリー映画運動について。戦前と戦後の違い、戦後に機材が軽量小型化した結果生じた変化、イギリス、カナダ、アメリカ、イタリア、フランスで生じた各運動の共通項と違いを確認する。（A-1-1)（A-3-1) (A-8-1),1960年代の世界的映画潮流＝「新しい映画（ニューシネマあるいはニューウェイヴ）」発生の条件と、技術革新による映画の外観の変貌、それに伴う主題の変化について確認する。（A-1-1)（A-3-1) (A-8-1),1960年代末期から1990年代初頭にかけての、電子テクノロジーあるいはコンピュータ・テクノロジーによる変化について。特殊効果撮影の歴史とCGI完成の過程、3D映画の復活、1970年代以降の撮影・録音機材の変化、これらの総合としての現代的見世物映画の特性を確認する。（A-1-1)（A-3-1) (A-8-1),期末試験、後期のまとめと振り返り。（A-1-1)（A-3-1) (A-8-1)"
映像文化論,映像文化論,舘けさみ,2,1～4,文理学部,総合教育科目,前期,選択,対面授業,映像作品を視聴するため遠隔での参加は認めることができない。,現代中国映画の概観を理解する。,現代中国映画の状況を学ぶことにより、理解した内容を説明できることを目標とする。,講義,原則として講義形式で行う。,初回ガイダンス出席者に限る。,プリントを配布する。,配布資料にて指示する。,授業内テスト:第14回授業内試験(40%)、授業参画度:授業参画度は課題の提出状況およびその内容によって評価する。(60%),毎週授業終了後の教室で行う。,"ガイダンス（授業のテーマや到達目標および授業方法について説明する）,「中国映画簡史」興隆期から黄金期までについて、映画の起源と中国映画の創成期における概観を理解する。,「中国映画簡史」建国後から文化大革命時期までについて、1949年から70年代までの中国映画について学ぶ。,北京電影(映画)学院の成り立ちについて、映画専門大学の着想から成立初期までを学ぶ。,現代中国の状況と監督の世代区分について、創成期、建国後、映画学院成立後といった、中国映画独自の監督の世代区分を学ぶ(A-1-1)。,「第五世代」監督の登場について、陳凱歌初監督作品『黄色い大地』を中心に学ぶ。,「第五世代」監督初期作品について、張芸謀初監督作品『紅いコーリャン』を中心に学ぶ。,80年代の動向について「新世代」と称された他の監督作品の概要を学ぶ(A-3-1)。,90年代初めの動向について、国際的認知が高まり作品も大作化していった中国映画の概要と、中国社会状況の変遷を学ぶ。,ポスト「第五世代」監督の登場について、次の「新世代」と称された監督の登場経緯を学ぶ(A-3-1)。,90年代の新人監督について、次世代となる「新世代」監督作品の特徴を、張元監督作品を中心にして学ぶ。,90年代以降の動向について、90年代後半の中国映画の状況を学ぶ。,授業内で解説した80年代を代表する監督の作品について、事前に提出された課題を踏まえ、その特徴について補足説明する(A-1-1)。,授業内試験と到達度の確認を行う。,総括"
